assetPk,assetId,assetName,isLocation,type,classificationName,manufacturerName,model,serial,priority,riskLevel,lastMaintainedWopk,parentPk,parentName
8180,100-CENTRIFUGE-44,*Trash* Oil Removing/Cooking Discharge 200U,false,A,System,,,,,,,7295,*Trash* 200U Cook Line
8181,100-SCREW PRESS-64,"PRESS, 200U",false,A,SCREW PRESS,,,,,,582559,7852,Obsolete Assets - Do not use
8182,100-SEPARATOR-74,Fines Screen 200U,false,A,SEPARATOR,,,,,,,8180,*Trash* Oil Removing/Cooking Discharge 200U
8183,100-PUMP-00022,"PUMP, Grease Transfer 200U",false,A,PUMP,,,,,,1677943,14942,200U Cooking
8184,100-SCREW CONVEYOR-919,"SCREW CONVEYOR, Crax 5 By-Pass",false,A,SCREW CONVEYOR,,,,,,1677943,14943,200U Pressing
8185,100-HYDRAULIC UNIT-00007,"HYDRAULIC CONSOLE, Press 200U",false,A,HYDRAULIC UNIT,,,,,,1677618,14943,200U Pressing
8186,100-SYSTEM-21,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant,false,A,System,,,,,,,7301,*Trash* Cooling Tower Area
8187,100-FAN-125,"Fan, #1 1800/FP CWS",false,A,Fan,,,,,,479490,8186,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant
8188,FAN-126,"Fan, #2 1800/FP CWS",false,A,Fan,,,,,,303670,8186,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant
8189,100-FAN-127,"Fan, #3 1800/FP CWS",false,A,Fan,,,,,,303670,8186,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant
8190,100-PUMP-853,"PUMP, #1 1800/FP",false,A,PUMP,,,,,,303670,8186,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant
8191,100-PUMP-854,"PUMP, #2 1800/FP",false,A,PUMP,,,,,,303670,8186,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant
8192,100-PUMP-855,"PUMP, #3 1800/FP",false,A,PUMP,,,,,,303670,8186,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant
8193,100-PUMP-856,"PUMP, Air Scrubber",false,A,PUMP,,,,,,1262367,8186,*Trash* BOILER STATUS/COOLING WATER SYSTEM 1800U/Feather Plant
8194,100-PROCESS LINE-01,POULTRY PROCESSING,true,L,Process Line,,,,,,1679379,14953,PRODUCTION
8195,100-SYSTEM-22,*Trash* Boiler Status/Cooling Water System,false,A,System,,,,,,,7852,Obsolete Assets - Do not use
8196,100-FAN-128,"Fan, #1 Poultry Fan",false,A,Fan,,,,,,,8195,*Trash* Boiler Status/Cooling Water System
8197,100-FAN-129,"Fan, #2 Poultry Fan",false,A,Fan,,,,,,661300,8195,*Trash* Boiler Status/Cooling Water System
8198,100-FAN-130,"Fan, #3 Poultry Fan",false,A,Fan,,,,,,,8195,*Trash* Boiler Status/Cooling Water System
8199,100-FAN-131,"Fan, #5 Poultry Fan",false,A,Fan,,,,,,,8195,*Trash* Boiler Status/Cooling Water System
8200,100-PUMP-857,"PUMP, Poultry",false,A,PUMP,,,,,,382916,8195,*Trash* Boiler Status/Cooling Water System
8252,100-COOKER-00101,"COOKER, TST",false,A,COOKER,DUPPS COMPANY 720,0912016 - 100,,,,1675153,14936,TST Cooker Equipment
8255,100-SCREW PRESS-00108,"SCREW PRESS, TST/o4300 #2 (Haarslev)",false,A,SCREW PRESS,HAARSLEV,210-074-07 (TYPE),,,,1679379,14919,PP Pressing
8256,100-SCREW PRESS-00105,"SCREW PRESS, TST/O4300 #3 (Dupps)",false,A,SCREW PRESS,HAARSLEV,210-074-07 (TYPE),,,,1679379,14919,PP Pressing
8257,100-PUMP-00112,"PUMP, TST Cooker Feed",false,A,PUMP,HAARSLEV,Haarslev HM35 - 009-24-096 (TYPE),,,,1679385,14917,PP Raw
8258,100-SCREW CONVEYOR-922,"SCREW CONVEYOR, Cooker Discharge #1 TST",false,A,SCREW CONVEYOR,Jay Gee Manufacturing,12,,,,1679379,14936,TST Cooker Equipment
8260,100-PUMP-872,Pump O4300 FatBack,false,A,PUMP,ROPER,Roper 3617 HBRV,,,,292110,7852,Obsolete Assets - Do not use
8261,100-PUMP-873,"PUMP, TST Add Fat",false,A,PUMP,ROPER,Roper 3617 HBRV,,,,1679379,14936,TST Cooker Equipment
8262,100-HYDRAULIC UNIT-37,Hydraulic Unit TST & O4300 Press #3 Choke,false,A,HYDRAULIC UNIT,,Dupro Hydraulic,,,,,7852,Obsolete Assets - Do not use
8263,100-HYDRAULIC UNIT-38,HYDRAULIC UNIT TST & O4300 Press Console,false,A,HYDRAULIC UNIT,,,,,,1082611,14919,PP Pressing
8264,100-SCREW CONVEYOR-1159,"SCREW CONVEYOR, TST & O4300 Press Drainor Screw",false,A,SCREW CONVEYOR,,,,,,1679379,14919,PP Pressing
8265,100-PUMP-874,"PUMP, Poultry Centrifuge Finished Grease",false,A,PUMP,,,,,,1679379,16279,TST & O4300
8266,100-PUMP-875,Poultry Centrifuge Bearing Oil Pump,false,A,PUMP,,,,,,1679379,23685,Poultry Centrifuge Bearing Lube System
8269,100-COOKER-40,O4300,false,A,System,,,,,,,7852,Obsolete Assets - Do not use
8270,100-PUMP-877,"PUMP, Tesla TST Drainor",false,A,PUMP,,3x2x10-2H50,4001-021222,,,1679379,14936,TST Cooker Equipment
8271,100-SCREW CONVEYOR-923,"SCREW CONVEYOR, Drainor Discharge o4300",false,A,SCREW CONVEYOR,,,,,,1679379,14935,O4300 Cooker Equipment
8272,100-BUCKET ELV-1,"Bucket Elevator, TST & O4300 Crax",false,A,BUCKET ELEVATOR,,,,,,1679379,14919,PP Pressing
8273,100-PUMP-878,"Pump, TST Cooker Gearbox oil",false,A,PUMP,SCOTT INDUSTRY SYSTEMS,150592,,,,1679402,14936,TST Cooker Equipment
8274,100-PUMP-879,"PUMP, TST Condensate (15HP)",false,A,PUMP,DEAN BROTHERS,MetPro PH-2111 - 3196ST,,,,1679379,14936,TST Cooker Equipment
8275,100-DRAINER-14,"DRAINER, TST",false,A,DRAINER,Jay Gee Manufacturing,JAY GEE 2 DOOR DRAINER,,,,1679379,14936,TST Cooker Equipment
